index,Prix,Processeur,RAM,Résolution,Stockage,Systeme_exploitation,Poids,Marque,Coeurs,Taille,Bluetooth,USB,HDMI,Sortie_audio,Caméra,Carte_sd
147,Entre 400 et 600,Intel Pentium,4,1366x768,1000,Windows 10,1.9,ACER,4,15.6,False,True,True,True,True,False
149,Entre 400 et 600,Intel Pentium,4,1920x1080,64,Windows 10,1.3,ACER,4,14,False,True,True,True,True,False
153,Entre 600 et 800,Intel Core i5,8,1920x1080,512,Windows 10,1.7,LENOVO,4,15.6,False,True,True,True,True,True
154,>1150,Intel Core i7,16,1920x1080,512,Aucun,2.60,ASUS,8,17.3,False,True,True,False,False,False
155,>1150,AMD Ryzen,16,1920x1080,512,Windows 10,2.980,LENOVO,8,17.3,False,True,True,True,True,True
157,Entre 600 et 800,Intel Core i5,8,1920x1080,512,Windows 10,1.05,ACER,4,14,False,True,True,True,True,False
158,>1150,Apple M1,16,2560x1600,256,MacOS,1.4,APPLE,8,13.3,False,True,False,False,True,False
159,>1150,Intel Core i7,16,1920x1080,512,Windows 10,2.60,ASUS,4,17.3,False,True,True,False,False,False
161,>1150,Intel Core i5,16,2560x1600,1000,MacOS,1.4,APPLE,4,13.3,False,True,False,True,True,False
162,Entre 250 et 400,Intel Pentium,4,1366x768,128,Windows 10,1.3,ASUS,4,14,False,True,True,True,True,False
163,Entre 800 et 1150,Intel Core i5,8,1920x1080,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
164,Entre 800 et 1150,Intel Core i5,8,1920x1080,512,Windows 10,1.86,MSI,6,15.6,False,True,True,True,True,False
165,Entre 400 et 600,Intel Core i3,4,1600x900,256,Windows 10,1.64,ACER,4,17.3,False,False,False,False,False,False
166,>1150,Intel Core i5,16,2560x1600,512,MacOS,1.4,APPLE,4,13.3,False,True,False,True,True,False
167,>1150,Intel Core i7,16,1920x1080,512,Windows 11,1.75,HP,4,15.6,False,True,True,True,True,True
168,Entre 800 et 1150,Intel Core i5,8,1920x1080,512,Windows 10,2.46,HP,6,16.1,False,True,True,True,True,True
169,>1150,Intel Core i7,16,1920x1080,1000,Windows 10,2.38,MSI,8,15.6,False,True,True,True,True,False
